Elemento,Design_Type,Story
1,Inclined_leg,Story1
2,Brace,Story1
3,Brace,Story1
4,Brace,Story1
5,Brace,Story1
6,Inclined_leg,Story1
7,Brace,Story1
8,Brace,Story1
9,Brace,Story1
10,Brace,Story1
11,Inclined_leg,Story1
12,Brace,Story1
13,Brace,Story1
14,Brace,Story1
15,Brace,Story1
16,Inclined_leg,Story1
17,Brace,Story1
18,Brace,Story1
19,Brace,Story1
20,Brace,Story1
21,Beam,Story1
22,Beam,Story1
23,Beam,Story1
24,Beam,Story1
25,Inclined_leg,Story2
26,Brace,Story2
27,Brace,Story2
28,Brace,Story2
29,Brace,Story2
30,Inclined_leg,Story2
31,Brace,Story2
32,Brace,Story2
33,Brace,Story2
34,Brace,Story2
35,Inclined_leg,Story2
36,Brace,Story2
37,Brace,Story2
38,Brace,Story2
39,Brace,Story2
40,Inclined_leg,Story2
41,Brace,Story2
42,Brace,Story2
43,Brace,Story2
44,Brace,Story2
45,Beam,Story2
46,Beam,Story2
47,Beam,Story2
48,Beam,Story2
49,Inclined_leg,Story3
50,Brace,Story3
51,Brace,Story3
52,Brace,Story3
53,Brace,Story3
54,Inclined_leg,Story3
55,Brace,Story3
56,Brace,Story3
57,Brace,Story3
58,Brace,Story3
59,Inclined_leg,Story3
60,Brace,Story3
61,Brace,Story3
62,Brace,Story3
63,Brace,Story3
64,Inclined_leg,Story3
65,Brace,Story3
66,Brace,Story3
67,Brace,Story3
68,Brace,Story3
69,Beam,Story3
70,Beam,Story3
71,Beam,Story3
72,Beam,Story3
73,Brace,Story4
74,Brace,Story4
75,Brace,Story4
76,Brace,Story4
77,Inclined_leg,Story4
78,Brace,Story4
79,Brace,Story4
80,Brace,Story4
81,Brace,Story4
82,Inclined_leg,Story4
83,Brace,Story4
84,Brace,Story4
85,Brace,Story4
86,Brace,Story4
87,Inclined_leg,Story4
88,Brace,Story4
89,Brace,Story4
90,Brace,Story4
91,Brace,Story4
92,Inclined_leg,Story4
93,Beam,Story4
94,Beam,Story4
95,Beam,Story4
96,Beam,Story4
97,Inclined_leg,Story5
98,Brace,Story5
99,Brace,Story5
100,Brace,Story5
101,Brace,Story5
102,Inclined_leg,Story5
103,Brace,Story5
104,Brace,Story5
105,Brace,Story5
106,Brace,Story5
107,Inclined_leg,Story5
108,Brace,Story5
109,Brace,Story5
110,Brace,Story5
111,Brace,Story5
112,Inclined_leg,Story5
113,Brace,Story5
114,Brace,Story5
115,Brace,Story5
116,Brace,Story5
117,Beam,Story5
118,Beam,Story5
119,Beam,Story5
120,Beam,Story5
