Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,38.393977,-
6,20.861159,-
7,100,Daño
8,25.400713,-
9,8.603818,-
10,7.152798,-
11,11.340321,-
12,13.59688,-
13,24.408829,-
14,7.666281,-
15,33.482978,-
16,8.467709,-
17,4.01674,-
18,3.5793,-
19,2.948834,-
20,3.263104,-
21,2.305249,-
22,40.223545,-
23,1.29587,-
24,23.039045,-
25,0.240834,-
26,0.35335,-
27,1.63654,-
28,1.833992,-
29,0.375746,-
30,0.579166,-
31,2.062023,-
32,0.458784,-
33,0.719537,-
34,0.73246,-
35,1.342742,-
36,1.419481,-
37,3.17662,-
38,1.106675,-
39,3.70945,-
40,1.108608,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
