Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,83.238034,Daño
6,75.467414,Daño
7,83.239517,Daño
8,34.354159,-
9,41.667338,-
10,42.385965,-
11,42.577045,-
12,41.476293,-
13,100,Daño
14,99.991702,Daño
15,99.999775,Daño
16,43.457758,-
17,39.914891,-
18,40.253445,-
19,40.34265,-
20,39.825728,-
21,91.959734,Daño
22,20.382469,-
23,83.627999,Daño
24,20.380821,-
25,41.126705,-
26,34.10224,-
27,33.981627,-
28,41.247341,-
29,29.79428,-
30,22.393936,-
31,29.794765,-
32,31.551258,-
33,42.078975,-
34,36.801594,-
35,36.732829,-
36,42.147542,-
37,40.737251,-
38,38.049027,-
39,40.737278,-
40,38.501013,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
