Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,4.720629391236602,-
6,17.398063463816339,-
7,12.682644036166794,-
8,16.767038505450561,-
9,-4.3829933278770046,-
10,-4.3409509931837258,-
11,-4.3488330382423372,-
12,-4.373416568858687,-
13,7.2646662781305658,-
14,-4.007469434857823,-
15,-4.2107969612325711,-
16,-3.3463836923095056,-
17,-4.3410275107182521,-
18,-4.229867530492311,-
19,-4.0627529356501038,-
20,-4.3219145503528074,-
21,-3.1150937166506658,-
22,16.201325107341592,-
23,-2.6735365902539434,-
24,100,Daño
25,-4.3434803617837296,-
26,-4.3080233617821966,-
27,-2.486796953158724,-
28,-1.4997089833775943,-
29,-4.0244162877149892,-
30,-3.2909831747897793,-
31,-2.0290231209563361,-
32,-3.3700454665227566,-
33,-3.5969011991740665,-
34,-4.1089149643672309,-
35,-2.2463765671292033,-
36,-2.2733298740101455,-
37,-0.84334280736149503,-
38,-3.4573573079203745,-
39,-0.95739806315479781,-
40,-2.7981327368338893,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
