Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,0.25359427483801605,-
6,100,Daño
7,0.553502842688542,-
8,5.7002643770709893,-
9,-1.5804665489235672E-2,-
10,0.85515030539640935,-
11,1.3979322686949507,-
12,2.7601117558022758E-3,-
13,1.3015223892693845E-2,-
14,6.0928812528437692,-
15,8.3788691582651939E-2,-
16,5.8344012294973231,-
17,-4.4059979322903536E-2,-
18,0.27081136064332401,-
19,0.21832631589627599,-
20,-3.3937958302024958E-2,-
21,6.3585378861213497,-
22,-5.6842614162749983E-3,-
23,3.8630724459942609,-
24,-3.6435317333756594E-2,-
25,-4.8866352766215766E-2,-
26,3.0265567946854435E-2,-
27,3.3026132844252563E-2,-
28,-4.2974117594227985E-2,-
29,-3.7120245694292342E-2,-
30,10.862879534746499,-
31,-3.851363462223148E-2,-
32,7.7047560499005687,-
33,-3.3968858843488922E-2,-
34,-2.8823992618955099E-2,-
35,-3.1420005472733915E-2,-
36,-3.7242104555889013E-2,-
37,-2.5940849187597662E-2,-
38,1.9637194141116661,-
39,-3.3233737356852561E-2,-
40,2.8067799158011395,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
