ID,Element,Percentage,Time_seconds,Final_Objective,DetectionOK,AvgDispersion,StdDispersion,MeanAbsDispersion,N_FalsePositives,Type_of_element_to_search,Story
1,1,5,4178.298416,0.312916615,VERDADERO,10.26405577,9.66860783,10.26405577,0,inclined_leg,Story 1
2,1,10,4234.230792,0.156594643,VERDADERO,7.835070522,6.578795869,7.835070522,0,inclined_leg,Story 1
3,1,15,4288.113483,0.140108301,VERDADERO,7.077522565,6.46771868,7.077522565,0,inclined_leg,Story 1
4,1,20,4353.540449,0.136951236,VERDADERO,6.742003473,6.516047718,6.742003473,0,inclined_leg,Story 1
5,1,25,4418.229896,0.134340811,VERDADERO,6.527849025,6.542074014,6.527849025,0,inclined_leg,Story 1
6,1,30,4483.913564,0.130853316,VERDADERO,6.371133919,6.522193133,6.371133919,0,inclined_leg,Story 1
7,1,35,4533.097503,0.12658566,VERDADERO,6.238905614,6.460642091,6.238905614,0,inclined_leg,Story 1
8,1,40,4582.662004,0.121818024,VERDADERO,6.127645504,6.359745944,6.127645504,0,inclined_leg,Story 1
9,1,45,4632.753268,0.116706221,VERDADERO,6.01334201,6.245797501,6.01334201,0,inclined_leg,Story 1
10,1,50,4678.552163,0.111366568,VERDADERO,5.893470995,6.125950793,5.893470995,0,inclined_leg,Story 1
11,1,55,4731.601217,0.105745186,VERDADERO,5.757510965,6.000611378,5.757510965,0,inclined_leg,Story 1
12,1,60,4784.965533,0.100016577,VERDADERO,5.617782025,5.870186412,5.617782025,0,inclined_leg,Story 1
13,1,65,4830.672739,0.094102468,VERDADERO,5.46365176,5.735159054,5.46365176,0,inclined_leg,Story 1
14,1,70,4888.932757,0.088137066,VERDADERO,5.305581496,5.594343045,5.305581496,0,inclined_leg,Story 1
15,1,75,4932.540462,0.082107015,VERDADERO,5.139956397,5.448332703,5.139956397,0,inclined_leg,Story 1
16,1,80,4977.904277,0.076076174,VERDADERO,4.969994917,5.296584104,4.969994917,0,inclined_leg,Story 1
17,1,85,5025.877397,0.070058463,VERDADERO,4.793864075,5.140258211,4.793864075,0,inclined_leg,Story 1
18,1,90,5060.68937,0.06404608,VERDADERO,4.607862099,4.978560053,4.607862099,0,inclined_leg,Story 1
19,2,5,5106.648817,0.158053174,VERDADERO,3.538230166,7.966992611,4.841621608,0,X_diagonal_brace,Story 1
20,2,10,5155.375185,0.149799766,VERDADERO,3.348738781,7.780706839,4.756927512,0,X_diagonal_brace,Story 1
21,2,15,5204.613393,0.141722357,VERDADERO,3.15900009,7.59871674,4.680371862,0,X_diagonal_brace,Story 1
22,2,20,5251.737516,0.134051061,VERDADERO,2.984251311,7.422465486,4.603471189,0,X_diagonal_brace,Story 1
23,2,25,5294.573528,0.12671817,VERDADERO,2.818291561,7.252020712,4.528874334,0,X_diagonal_brace,Story 1
24,2,30,5371.432777,0.119763333,VERDADERO,2.668796711,7.086977055,4.454099782,0,X_diagonal_brace,Story 1
25,2,35,5422.342007,0.113165922,VERDADERO,2.528511124,6.928360946,4.379706904,0,X_diagonal_brace,Story 1
26,2,40,5475.997681,0.107168922,VERDADERO,2.401256549,6.776553258,4.30341879,0,X_diagonal_brace,Story 1
27,2,45,5521.730029,0.101646501,VERDADERO,2.285278301,6.63149926,4.22425361,0,X_diagonal_brace,Story 1
28,2,50,5570.664579,0.096540471,VERDADERO,2.183581402,6.494573506,4.142359531,0,X_diagonal_brace,Story 1
29,2,55,5627.964649,0.092085219,VERDADERO,2.093729654,6.365089486,4.055313152,0,X_diagonal_brace,Story 1
30,2,60,5699.116939,0.088052258,VERDADERO,2.018660923,6.24519465,3.964015317,0,X_diagonal_brace,Story 1
31,2,65,5749.334927,0.084737358,VERDADERO,1.962239905,6.133613688,3.865618301,0,X_diagonal_brace,Story 1
32,2,70,5799.370954,0.081602424,VERDADERO,1.912524501,6.033257397,3.762187234,0,X_diagonal_brace,Story 1
33,2,75,5858.740793,0.078769835,VERDADERO,1.879976462,5.945022586,3.642953395,0,X_diagonal_brace,Story 1
34,2,80,5902.498119,0.076589716,VERDADERO,1.863771761,5.870756906,3.498465659,0,X_diagonal_brace,Story 1
35,2,85,5956.08797,0.075159306,VERDADERO,1.875877945,5.814414865,3.312817964,0,X_diagonal_brace,Story 1
36,2,90,5998.290242,0.074817077,VERDADERO,1.908790021,5.771074107,3.074243727,0,X_diagonal_brace,Story 1
37,3,5,6036.189018,0.78386759,VERDADERO,7.258272893,11.84236402,7.279485726,3,X_diagonal_brace,Story 1
38,3,10,6083.379592,0.766414282,VERDADERO,6.734272919,11.57735109,6.897630108,3,X_diagonal_brace,Story 1
39,3,15,6122.212219,0.747021094,VERDADERO,7.579289681,13.44006904,7.952973,2,X_diagonal_brace,Story 1
40,3,20,6167.966844,0.726156054,VERDADERO,7.125194709,13.15764721,7.750355954,2,X_diagonal_brace,Story 1
41,3,25,6213.056552,0.705430223,VERDADERO,6.696906716,12.87604628,7.582073223,2,X_diagonal_brace,Story 1
42,3,30,6255.523421,0.685043113,VERDADERO,6.298797179,12.59857357,7.419063234,2,X_diagonal_brace,Story 1
43,3,35,6296.77286,0.66491631,VERDADERO,5.922591661,12.32734857,7.278535599,2,X_diagonal_brace,Story 1
44,3,40,6339.131932,0.644975786,VERDADERO,5.564594802,12.06351492,7.161899741,2,X_diagonal_brace,Story 1
45,3,45,6380.575513,0.625446808,VERDADERO,6.531567985,13.88423564,8.305519325,2,X_diagonal_brace,Story 1
46,3,50,6426.356188,0.606331709,VERDADERO,6.212482842,13.6597546,8.191462698,2,X_diagonal_brace,Story 1
47,3,55,6471.160998,0.587531365,VERDADERO,5.909508254,13.45146633,8.086975915,2,X_diagonal_brace,Story 1
48,3,60,6511.997305,0.56917185,VERDADERO,5.627800696,13.26207254,8.023974384,2,X_diagonal_brace,Story 1
49,3,65,6544.031912,0.551223338,VERDADERO,5.361954682,13.09300239,7.967651212,2,X_diagonal_brace,Story 1
50,3,70,6576.227091,0.533742253,VERDADERO,5.117085135,12.9521554,7.920519155,2,X_diagonal_brace,Story 1
51,3,75,6621.519591,0.516826711,VERDADERO,4.891151568,12.83979719,7.882587937,2,X_diagonal_brace,Story 1
52,3,80,6666.70652,0.500490864,VERDADERO,4.68055804,12.7604941,7.85548712,2,X_diagonal_brace,Story 1
53,3,85,6725.028402,0.485236442,VERDADERO,4.489974116,12.72271725,7.83997657,2,X_diagonal_brace,Story 1
54,3,90,6775.469458,0.471768372,VERDADERO,4.314439748,12.74042965,7.839220063,2,X_diagonal_brace,Story 1
55,4,5,6814.06726,0.158065635,VERDADERO,3.538955696,7.967093324,4.841615801,0,X_diagonal_brace,Story 1
56,4,10,6850.48311,0.149730442,VERDADERO,3.342725776,7.780824832,4.758184067,0,X_diagonal_brace,Story 1
57,4,15,6898.612859,0.141723634,VERDADERO,3.158304248,7.599069214,4.680756082,0,X_diagonal_brace,Story 1
58,4,20,6941.70973,0.134074071,VERDADERO,2.984673349,7.42305224,4.603886792,0,X_diagonal_brace,Story 1
59,4,25,6982.215113,0.126763755,VERDADERO,2.82542543,7.250997701,4.525897807,0,X_diagonal_brace,Story 1
60,4,30,7030.453886,0.119760801,VERDADERO,2.668527806,7.086880193,4.454163805,0,X_diagonal_brace,Story 1
61,4,35,7070.883148,0.11317738,VERDADERO,2.528057165,6.928583913,4.380308547,0,X_diagonal_brace,Story 1
62,4,40,7129.313998,0.107175394,VERDADERO,2.402295673,6.776568058,4.302868642,0,X_diagonal_brace,Story 1
63,4,45,7171.978586,0.101690135,VERDADERO,2.28935839,6.631343493,4.222803614,0,X_diagonal_brace,Story 1
