Elemento,P_promedio_kN
1,-8365.994633333334
2,-1560.9878333333334
3,-485.8592333333333
4,-1560.9878
5,-485.8591666666667
6,-8365.9949
7,-1560.9879
8,-485.85953333333333
9,-1560.9879
10,-485.85953333333333
11,-8365.9949
12,-1560.9878
13,-485.8591666666667
14,-1560.9878333333334
15,-485.8592333333333
16,-8365.994633333334
17,-1560.9879
18,-485.8594666666666
19,-1560.9879
20,-485.8594666666666
21,895.5172
22,895.5176
23,895.5172
24,895.5176
25,-6362.9798
26,-933.6383999999999
27,-97.14563333333332
28,-933.6383333333333
29,-97.14550000000001
30,-6362.980200000001
31,-933.6386666666667
32,-97.14620000000001
33,-933.6386666666667
34,-97.14620000000001
35,-6362.980200000001
36,-933.6383333333333
37,-97.14550000000001
38,-933.6383999999999
39,-97.14563333333332
40,-6362.9798
41,-933.6387333333333
42,-97.14626666666665
43,-933.6387333333333
44,-97.14626666666665
45,591.8683
46,591.8681
47,591.8683
48,591.8679
49,-4229.0298
50,-1003.5691333333334
51,-652.4209
52,-1003.5669666666666
53,-652.4188
54,-4229.0315
55,-1003.5680666666667
56,-652.4199333333333
57,-1003.5680666666667
58,-652.4199333333333
59,-4229.0315
60,-1003.5669666666666
61,-652.4188
62,-1003.5691333333334
63,-652.4209
64,-4229.0298
65,-1003.5676666666667
66,-652.4195
67,-1003.5676666666667
68,-652.4195
69,1030.0669
70,1030.0682
71,1030.0669
72,1030.0686
73,-868.9256
74,-592.2684666666668
75,-868.9278
76,-592.2706
77,-3123.2003333333337
78,-868.9269
79,-592.2698333333334
80,-868.9269
81,-592.2698333333334
82,-3123.2003333333337
83,-868.9278
84,-592.2706
85,-868.9256
86,-592.2684666666668
87,-3123.1992000000005
88,-868.9267333333333
89,-592.2696666666667
90,-868.9267333333333
91,-592.2696666666667
92,-3123.1992000000005
93,876.0429
94,876.0436
95,876.0431
96,876.0436
97,-1943.3037333333334
98,-880.5475
99,-686.4298333333332
100,-880.5475
101,-686.4298333333332
102,-1943.3037333333334
103,-880.5468000000001
104,-686.4291
105,-880.5468000000001
106,-686.4291
107,-1943.3037666666667
108,-880.5474
109,-686.4298
110,-880.5474
111,-686.4298
112,-1943.3037666666667
113,-880.5468000000001
114,-686.4291
115,-880.5468000000001
116,-686.4291
117,152.47
118,152.4704
119,152.47
120,152.4704
121,-1124.4846333333332
122,-1124.4846333333332
123,-1124.4846333333332
124,-1124.4846333333332
125,20.7719
126,20.7719
127,20.7719
128,20.7719
129,-196.97513333333333
130,-196.97513333333333
131,-196.97513333333333
132,-196.97513333333333
133,-33.5445
134,-33.5445
135,-33.5445
136,-33.5445
