Element,P_kN,,,,
1,-8563.7385,,,,
1,-8365.9946,,,,
1,-8168.2508,,,,
2,-1666.1707,,,,
2,-1560.9878,,,,
2,-1455.805,,,,
3,-578.4202,,,,
3,-485.8592,,,,
3,-393.2983,,,,
4,-1666.1707,,,,
4,-1560.9878,,,,
4,-1455.8049,,,,
5,-578.4201,,,,
5,-485.8592,,,,
5,-393.2982,,,,
6,-8563.7387,,,,
6,-8365.9949,,,,
6,-8168.2511,,,,
7,-1666.1708,,,,
7,-1560.9879,,,,
7,-1455.805,,,,
8,-578.4205,,,,
8,-485.8595,,,,
8,-393.2986,,,,
9,-1666.1708,,,,
9,-1560.9879,,,,
9,-1455.805,,,,
10,-578.4205,,,,
10,-485.8595,,,,
10,-393.2986,,,,
11,-8563.7387,,,,
11,-8365.9949,,,,
11,-8168.2511,,,,
12,-1666.1707,,,,
12,-1560.9878,,,,
12,-1455.8049,,,,
13,-578.4201,,,,
13,-485.8592,,,,
13,-393.2982,,,,
14,-1666.1707,,,,
14,-1560.9878,,,,
14,-1455.805,,,,
15,-578.4202,,,,
15,-485.8592,,,,
15,-393.2983,,,,
16,-8563.7385,,,,
16,-8365.9946,,,,
16,-8168.2508,,,,
17,-1666.1708,,,,
17,-1560.9879,,,,
17,-1455.805,,,,
18,-578.4204,,,,
18,-485.8595,,,,
18,-393.2985,,,,
19,-1666.1708,,,,
19,-1560.9879,,,,
19,-1455.805,,,,
20,-578.4204,,,,
20,-485.8595,,,,
20,-393.2985,,,,
21,895.5172,,,,
22,895.5176,,,,
23,895.5172,,,,
24,895.5176,,,,
25,-6560.7236,,,,
25,-6362.9798,,,,
25,-6165.236,,,,
26,-1039.7448,,,,
26,-933.6384,,,,
26,-827.532,,,,
27,-188.783,,,,
27,-97.1456,,,,
27,-5.5083,,,,
28,-1039.7448,,,,
28,-933.6383,,,,
28,-827.5319,,,,
29,-188.7829,,,,
29,-97.1455,,,,
29,-5.5081,,,,
30,-6560.724,,,,
30,-6362.9802,,,,
30,-6165.2364,,,,
31,-1039.7451,,,,
31,-933.6387,,,,
31,-827.5322,,,,
32,-188.7836,,,,
32,-97.1462,,,,
32,-5.5088,,,,
33,-1039.7451,,,,
33,-933.6387,,,,
33,-827.5322,,,,
34,-188.7836,,,,
34,-97.1462,,,,
34,-5.5088,,,,
35,-6560.724,,,,
35,-6362.9802,,,,
35,-6165.2364,,,,
36,-1039.7448,,,,
36,-933.6383,,,,
36,-827.5319,,,,
37,-188.7829,,,,
37,-97.1455,,,,
37,-5.5081,,,,
38,-1039.7448,,,,
38,-933.6384,,,,
38,-827.532,,,,
39,-188.783,,,,
39,-97.1456,,,,
39,-5.5083,,,,
40,-6560.7236,,,,
40,-6362.9798,,,,
40,-6165.236,,,,
41,-1039.7452,,,,
41,-933.6387,,,,
41,-827.5323,,,,
42,-188.7836,,,,
42,-97.1463,,,,
42,-5.5089,,,,
43,-1039.7452,,,,
43,-933.6387,,,,
43,-827.5323,,,,
44,-188.7836,,,,
44,-97.1463,,,,
44,-5.5089,,,,
45,591.8683,,,,
46,591.8681,,,,
47,591.8683,,,,
48,591.8679,,,,
49,-4325.7443,,,,
49,-4229.0298,,,,
49,-4132.3153,,,,
50,-1056.0713,,,,
50,-1003.5691,,,,
50,-951.067,,,,
51,-696.6332,,,,
51,-652.4209,,,,
51,-608.2086,,,,
52,-1056.0691,,,,
52,-1003.567,,,,
52,-951.0648,,,,
53,-696.6311,,,,
53,-652.4188,,,,
53,-608.2065,,,,
