Elemento,N_axial_kN
1,-4154822.9265549
2,-3126152.32939459
3,3713967.4077341
4,-4953131.43820575
5,1886988.89730408
6,-3659445.63341244
7,-5469303.6709965
8,-5032698.80391075
9,5469303.67099946
10,5032698.80391366
11,3659445.6333797
12,4953131.43818492
13,-1886988.89732497
14,3126152.32940855
15,-3713967.40772014
16,4154822.92657967
17,4167554.82031825
18,3730949.41634149
19,-4167554.82031436
20,-3730949.41633753
21,1168756.4747896
22,4.64264902141e-06
23,-1168756.47479791
24,3.13963315116935e-06
25,-2887845.38845243
26,-3062559.11122384
27,2314467.4716456
28,-4802148.52813821
29,574885.242124594
30,-2208351.90540479
31,-3617608.16825299
32,-3224168.23612527
33,3617608.16824695
34,3224168.23612113
35,2208351.90536499
36,4802148.52813486
37,-574885.242127422
38,3062559.1112563
39,-2314467.47161399
40,2887845.38846803
41,2428472.70258522
42,2035025.79542894
43,-2428472.70259272
44,-2035025.79543838
45,222397.457496566
46,-3.92147914114188e-06
47,-222397.457489784
48,-6.76328420657288e-06
49,-2579895.55581236
50,-668127.702455764
51,1339916.99140974
52,-2339995.60955907
53,-331916.713640458
54,-1669659.67050598
55,-2182897.93122524
56,-2010761.38416532
57,2182897.93123785
58,2010761.38418396
59,1669659.67047357
60,2339995.60952011
61,331916.713605353
62,668127.702449015
63,-1339916.99141574
64,2579895.55583526
65,1099525.08461002
66,927354.362851032
67,-1099525.08459147
68,-927354.362838044
69,-539286.701892021
70,2.42550266060832e-05
71,539286.701798975
72,2.17285362069016e-05
73,-304466.368006709
74,1173793.11283738
75,-1942493.56946745
76,-464028.294856255
77,-699355.545361299
78,-1604575.81684848
79,-1451615.68888397
80,1604575.81684904
81,1451615.68889812
82,699355.545232206
83,1942493.56957758
84,464028.294959759
85,304466.368200713
86,-1173793.11267926
87,1911685.12441472
88,617121.746644385
89,463955.716990846
90,-617121.746612992
91,-463955.716973356
92,-1911685.12455334
93,8.51802458373042e-06
94,517808.098975876
95,1.12947037645362e-05
96,-517808.099034096
97,1089426.87678881
98,364556.299235273
99,222047.382441814
100,-364556.299279286
101,-222047.382492427
102,-1089426.87688751
103,-298094.519258228
104,626540.574751443
105,-1933848.6979396
106,-998897.243103147
107,510615.100228608
108,-1239697.9548681
109,-1107505.56509988
110,1239697.95485549
111,1107505.56510049
112,-510615.100356585
113,1933848.69786145
114,998897.243054064
115,298094.519185779
116,-626540.574863485
117,-63631.7279399649
118,-9.56113238435893e-06
119,63631.7279764384
120,-5.20076150054635e-05
121,363995.905248852
122,-363995.90526967
123,-253838.452337551
124,253838.452358263
125,-4146.71527604944
126,0.00301475686394875
127,4146.71529009715
128,0
129,112686.543813229
130,128053.705736578
131,-128053.705743319
132,-112686.543806467
133,4151.55050290609
134,-0.00602951372789749
135,-4151.55049614962
136,0.00301475686394875
