Elemento,N_axial_kN,P_promedio_kN,Diff_kN,Diff_abs_kN,Diff_pct,Tipo
1,5964.80584984434,-8365.994633333334,14330.800483177674,14330.800483177674,171.2982270436235,Compresión
6,5404.40245893809,-8365.9949,13770.39735893809,13770.39735893809,164.59963843979983,Compresión
25,4075.77154897156,-6362.9798,10438.75134897156,10438.75134897156,164.05444737277045,Compresión
30,3442.54657008912,-6362.980200000001,9805.52677008912,9805.52677008912,154.10273897360375,Compresión
49,3741.89808431725,-4229.0298,7970.927884317251,7970.927884317251,188.48124178345674,Compresión
19,5628.09616985132,-1560.9879,7189.08406985132,7189.08406985132,460.5470718412262,Compresión
54,2943.63966948409,-4229.0315,7172.671169484091,7172.671169484091,169.60552712336226,Compresión
7,5351.66228374664,-1560.9879,6912.65018374664,6912.65018374664,442.8381654539576,Compresión
92,3029.35105085511,-3123.1992000000005,6152.550250855111,6152.550250855111,196.99512758856875,Compresión
20,5196.11333031223,-485.8594666666666,5681.972796978896,5681.972796978896,1169.468369993178,Compresión
8,4918.52919457406,-485.8595333333333,5404.388727907393,5404.388727907393,1112.3356332448975,Compresión
43,4445.34158869411,-933.6387333333332,5378.980322027443,5378.980322027443,576.1308013712945,Compresión
77,2035.752344878,-3123.2003333333337,5158.9526782113335,5158.9526782113335,165.18161263941283,Compresión
31,4107.53511865212,-933.6386666666668,5041.173785318787,5041.173785318787,539.9491216358464,Compresión
18,-5196.11333031224,-485.8594666666666,-4710.253863645573,4710.253863645573,969.4683704048215,Compresión
10,-4918.52919457406,-485.8595333333333,-4432.669661240727,4432.669661240727,912.3356336565392,Compresión
44,4051.90176366538,-97.14626666666663,4149.048030332046,4149.048030332046,4270.928909557779,Compresión
17,-5628.09616985132,-1560.9879,-4067.10826985132,4067.10826985132,260.5470719693502,Compresión
67,3048.63710539128,-1003.5676666666668,4052.2047720579467,4052.2047720579467,403.7799246242635,Compresión
102,2015.72837436988,-1943.3037333333332,3959.032107703213,3959.032107703213,203.72688210067133,Compresión
42,-4051.90176366538,-97.14626666666663,-3954.755496998713,3954.755496998713,4070.9289116165305,Compresión
32,3712.33296932501,-97.1462,3809.47916932501,3809.47916932501,3921.3876920673515,Compresión
9,-5351.66228374664,-1560.9879,-3790.67438374664,3790.67438374664,242.83816558208156,Compresión
55,2690.47805181735,-1003.5680666666668,3694.046118484017,3694.046118484017,368.0912374058306,Compresión
34,-3712.332969325,-97.1462,-3615.1867693249997,3615.1867693249997,3721.3876941260937,Compresión
68,2877.42061934299,-652.4195,3529.84011934299,3529.84011934299,541.0384137709873,Compresión
41,-4445.34158869412,-933.6387333333332,-3511.702855360787,3511.702855360787,376.1308015855111,Compresión
90,2533.91472110552,-868.9267333333333,3402.8414544388534,3402.8414544388534,391.61431222962835,Compresión
100,2353.18498221036,-880.5475,3233.73248221036,3233.73248221036,367.2411174340906,Compresión
33,-4107.53511865212,-933.6386666666668,-3173.8964519854535,3173.8964519854535,339.9491218500621,Compresión
56,2517.5643454421,-652.4199333333333,3169.9842787754333,3169.9842787754333,485.88096591724155,Compresión
4,1575.84665040241,-1560.9878,3136.83445040241,3136.83445040241,200.95188754152278,Compresión
78,2121.53079230512,-868.9269,2990.45769230512,2990.45769230512,344.1552665550539,Compresión
28,2054.34686615552,-933.6383333333332,2987.985199488853,2987.985199488853,320.0366876133499,Compresión
91,2382.45509503648,-592.2696666666667,2974.7247617031467,2974.7247617031467,502.25850218237775,Compresión
11,-5404.40245893811,-8365.9949,2961.59244106189,2961.59244106189,35.40036153629362,Compresión
35,-3442.54657008914,-6362.980200000001,2920.433629910861,2920.433629910861,45.897260994964086,Compresión
101,2206.3796776466,-686.4298333333332,2892.8095109799333,2892.8095109799333,421.4282897230794,Compresión
108,1831.78724309517,-880.5474,2712.33464309517,2712.33464309517,308.0282378909855,Compresión
107,765.210670902824,-1943.303766666667,2708.514437569491,2708.514437569491,139.37679135061913,Compresión
79,1966.61353799495,-592.2698333333334,2558.8833713282834,2558.8833713282834,432.0468852188962,Compresión
21,-1535.60202689489,895.5172,-2431.11922689489,2431.11922689489,271.4765527876097,Tensión
2,844.330211940496,-1560.9878333333334,2405.3180452738293,2405.3180452738293,154.08948054365152,Compresión
16,-5964.80584984432,-8365.994633333334,2401.188783489014,2401.188783489014,28.701772932470437,Compresión
109,1699.55283926875,-686.4298,2385.98263926875,2385.98263926875,347.59310213408844,Compresión
105,1466.62242224774,-880.5468000000001,2347.16922224774,2347.16922224774,266.5581454139812,Compresión
106,1611.93120345481,-686.4291,2298.36030345481,2298.36030345481,334.82850597483775,Compresión
40,-4075.77154897153,-6362.9798,2287.20825102847,2287.20825102847,35.94555259579818,Compresión
66,-2877.420619343,-652.4195,-2225.001119343,2225.001119343,341.03841407754,Compresión
26,1223.9440724243,-933.6384,2157.5824724243002,2157.5824724243002,231.09401563960523,Compresión
52,1116.91334026415,-1003.5669666666666,2120.480306930817,2120.480306930817,211.29435057642624,Compresión
75,1224.58007183338,-868.9278,2093.5078718333802,2093.5078718333802,240.930013911867,Compresión
65,-3048.63710539128,-1003.5676666666668,-2045.069438724613,2045.069438724613,203.7799248235525,Compresión
58,-2517.56434544211,-652.4199333333333,-1865.1444121087768,1865.1444121087768,285.88096622379413,Compresión
89,-2382.45509503647,-592.2696666666667,-1790.1854283698035,1790.1854283698035,302.2585025200601,Compresión
122,642.346979728762,-1124.4846333333332,1766.8316130620951,1766.8316130620951,157.12367773789867,Compresión
57,-2690.47805181734,-1003.5680666666668,-1686.9099851506735,1686.9099851506735,168.09123760511852,Compresión
88,-2533.91472110553,-868.9267333333333,-1664.987987772197,1664.987987772197,191.61431245979855,Compresión
71,-530.432656302102,1030.0669,-1560.499556302102,1560.499556302102,151.49497132537238,Tensión
99,-2206.37967764659,-686.4298333333332,-1519.949844313257,1519.949844313257,221.42829001444053,Compresión
94,-612.97157414732,876.0436,-1489.01517414732,1489.01517414732,169.9704412483141,Tensión
98,-2353.18498221035,-880.5475,-1472.6374822103498,1472.6374822103498,167.24111766122087,Compresión
63,787.816530055832,-652.4209,1440.237430055832,1440.237430055832,220.7528035733227,Compresión
81,-1966.61353799494,-592.2698333333334,-1374.3437046616068,1374.3437046616068,232.04688555657842,Compresión
86,762.100326720535,-592.2684666666668,1354.3687933872018,1354.3687933872018,228.6748100439902,Compresión
123,173.032334181923,-1124.4846333333332,1297.5169675152563,1297.5169675152563,115.38770098752906,Compresión
59,-2943.63966948412,-4229.0315,1285.39183051588,1285.39183051588,30.394472829344856,Compresión
80,-2121.53079230512,-868.9269,-1252.60389230512,1252.60389230512,144.15526678522295,Compresión
39,1109.20458279932,-97.14563333333332,1206.3502161326533,1206.3502161326533,1241.7956034888143,Compresión
112,-765.210670902861,-1943.303766666667,1178.0930957638059,1178.0930957638059,60.623208546461434,Compresión
50,144.924180558561,-1003.5691333333334,1148.4933138918943,1148.4933138918943,114.44087652763787,Compresión
36,-2054.34686615549,-933.6383333333332,-1120.7085328221565,1120.7085328221565,120.0366878275624,Compresión
82,-2035.75234487804,-3123.2003333333337,1087.4479884552936,1087.4479884552936,34.81838729654901,Compresión
15,575.188286370577,-485.8592333333333,1061.0475197039102,1061.0475197039102,218.38578845986441,Compresión
72,-6.69410396388926e-12,1030.0686,-1030.0686000000067,1030.0686000000067,99.99999990291973,Tensión
70,-5.02057797291695e-12,1030.0682,-1030.068200000005,1030.068200000005,99.99999990291951,Tensión
111,-1699.55283926876,-686.4298,-1013.12303926876,1013.12303926876,147.5931024254525,Compresión
27,-1109.20458279936,-97.14563333333332,-1012.0589494660267,1012.0589494660267,1041.7956055476202,Compresión
76,401.178246954549,-592.2706,993.448846954549,993.448846954549,167.73563389389795,Compresión
124,-173.032334181903,-1124.4846333333332,951.4522991514302,951.4522991514302,84.61229883461344,Compresión
110,-1831.78724309517,-880.5474,-951.2398430951699,951.2398430951699,108.02823811811693,Compresión
45,-358.667311532293,591.8683,-950.5356115322929,950.5356115322929,160.59917551358998,Tensión
