Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,51.950699,Daño
6,57.331663,Daño
7,49.998662,-
8,57.332502,Daño
9,24.843598,-
10,24.843593,-
11,24.868517,-
12,24.86852,-
13,13.645457,-
14,24.965944,-
15,18.545773,-
16,24.959789,-
17,29.25712,-
18,29.257122,-
19,29.406549,-
20,29.406542,-
21,99.98855,Daño
22,46.581036,-
23,100,Daño
24,99.831628,Daño
25,33.538013,-
26,33.538022,-
27,33.188265,-
28,33.188256,-
29,23.834813,-
30,45.396543,-
31,60.487688,Daño
32,45.401393,-
33,35.633586,-
34,35.633595,-
35,33.927766,-
36,33.92776,-
37,34.322165,-
38,36.5783,-
39,34.065486,-
40,36.584076,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
