Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,6.398208,-
6,6.383968,-
7,3.891448,-
8,3.221961,-
9,2.56365,-
10,1.741319,-
11,1.113015,-
12,0.698529,-
13,5.37268,-
14,4.734734,-
15,4.770828,-
16,4.966835,-
17,1.851773,-
18,2.610961,-
19,2.290411,-
20,1.699854,-
21,6.482554,-
22,5.051113,-
23,8.79103,-
24,8.338585,-
25,2.667176,-
26,3.163178,-
27,3.216515,-
28,3.040011,-
29,8.442491,-
30,100,Daño
31,7.902466,-
32,3.981091,-
33,2.848063,-
34,3.048185,-
35,3.374266,-
36,3.226549,-
37,1.996191,-
38,2.334034,-
39,2.826333,-
40,2.771493,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
