Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,0.93593409710593123,-
6,19.134556591232226,-
7,3.475582488824668,-
8,20.14776711163255,-
9,-8.3206397801750729,-
10,-8.257584464047877,-
11,-7.8141220888826375,-
12,-7.9116761674590457,-
13,-5.0736647102708456,-
14,-0.45288673230196769,-
15,-4.7391321369287764,-
16,-0.33187737335694095,-
17,-6.5025202649764751,-
18,-5.9797383231491485,-
19,-3.0873834710248875,-
20,-3.5940408442920151,-
21,-2.5480947470599107,-
22,-5.4695153770074638,-
23,-3.5432941735957844,-
24,1.0050753458022177,-
25,-5.9202282822023804,-
26,-7.2057970333474621,-
27,0.62079991629740627,-
28,0.8660749765515946,-
29,-3.6060791602950779,-
30,-4.3956439091344484,-
31,-5.0088417330169426,-
32,-0.49543916593487153,-
33,5.9425320886849962,-
34,5.6370133664661202,-
35,3.8628997354633503,-
36,3.0089300776098304,-
37,100,Daño
38,14.357786003169901,-
39,12.548686804853215,-
40,19.544705631135091,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
