Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,3.869313,-
6,2.906591,-
7,3.433627,-
8,12.308736,-
9,1.644404,-
10,1.639684,-
11,1.641334,-
12,1.643193,-
13,3.201255,-
14,4.592413,-
15,3.091265,-
16,2.636223,-
17,1.77432,-
18,1.774082,-
19,1.771106,-
20,1.77683,-
21,16.402609,-
22,3.78143,-
23,100,Daño
24,2.533445,-
25,1.904429,-
26,1.902644,-
27,1.915155,-
28,1.916981,-
29,2.409002,-
30,2.082515,-
31,2.511473,-
32,2.442074,-
33,1.990456,-
34,2.01153,-
35,1.992876,-
36,1.971747,-
37,2.006722,-
38,2.078687,-
39,2.06189,-
40,2.270463,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
