Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,99.985008,Daño
6,99.755819,Daño
7,100,Daño
8,99.733805,Daño
9,12.027478,-
10,11.591066,-
11,12.027754,-
12,11.59142,-
13,70.388119,Daño
14,68.535242,Daño
15,70.387932,Daño
16,68.529671,Daño
17,20.492462,-
18,21.220203,-
19,20.494047,-
20,21.220998,-
21,93.944811,Daño
22,98.068295,Daño
23,93.734937,Daño
24,97.897325,Daño
25,32.495705,-
26,34.292876,-
27,32.496063,-
28,34.294235,-
29,52.933813,Daño
30,49.380128,-
31,52.931834,Daño
32,49.383481,-
33,43.834606,-
34,45.11478,-
35,43.835204,-
36,45.116007,-
37,53.459072,Daño
38,50.950213,Daño
39,53.45178,Daño
40,50.956637,Daño
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
