Numero_de_nodo,Valor_de_daño_normalizado,Estado
5,2.2276108975627475,-
6,20.721208132899545,-
7,16.607097957045088,-
8,9.0705435456081922,-
9,7.0187635207753898,-
10,9.2069670834978226,-
11,6.8037104955366727,-
12,15.199273808437596,-
13,6.9172518314681337,-
14,7.7936819414205587,-
15,5.3667083220752936,-
16,12.143080911338302,-
17,12.190115670245827,-
18,3.3611044500247313,-
19,3.7641361078101516,-
20,12.88657962923917,-
21,31.798873196940065,-
22,10.726858266474382,-
23,4.1115610947643972,-
24,5.1821328762696277,-
25,3.8602268230523284,-
26,2.2906550424396808,-
27,1.5941460475745972,-
28,20.233829231813523,-
29,10.760574546562939,-
30,6.2853355256665049,-
31,5.0201469485586241,-
32,100,Daño
33,36.997393591258074,-
34,2.9138870800211598,-
35,1.3986065355858646,-
36,25.767544418451273,-
37,11.149681746882543,-
38,4.6445605492143338,-
39,7.7950875640776021,-
40,20.851061132776767,-
41,,-
42,,-
43,,-
44,,-
45,,-
46,,-
47,,-
48,,-
49,,-
50,,-
51,,-
52,,-
