case_id,damage_type,element_id,severity_pct,member_type,zone,n_elements_total,detection_ok,n_false_positives
D_0001,Denting,1,5,Inclined_leg,mudline,120,False,4
D_0002,Denting,1,10,Inclined_leg,mudline,120,False,4
D_0003,Denting,1,15,Inclined_leg,mudline,120,False,4
D_0004,Denting,1,20,Inclined_leg,mudline,120,False,4
D_0005,Denting,1,25,Inclined_leg,mudline,120,False,2
D_0006,Denting,1,30,Inclined_leg,mudline,120,False,2
D_0007,Denting,1,35,Inclined_leg,mudline,120,False,2
D_0008,Denting,1,40,Inclined_leg,mudline,120,False,4
D_0009,Denting,1,45,Inclined_leg,mudline,120,False,3
D_0010,Denting,2,5,Brace,mudline,120,True,0
D_0011,Denting,2,10,Brace,mudline,120,True,0
D_0012,Denting,2,15,Brace,mudline,120,True,0
D_0013,Denting,2,20,Brace,mudline,120,True,0
D_0014,Denting,2,25,Brace,mudline,120,True,0
D_0015,Denting,2,30,Brace,mudline,120,True,0
D_0016,Denting,2,35,Brace,mudline,120,True,0
D_0017,Denting,2,40,Brace,mudline,120,True,0
D_0018,Denting,2,45,Brace,mudline,120,True,0
D_0019,Denting,3,5,Brace,mudline,120,True,2
D_0020,Denting,3,10,Brace,mudline,120,True,2
D_0021,Denting,3,15,Brace,mudline,120,True,2
D_0022,Denting,3,20,Brace,mudline,120,True,2
D_0023,Denting,3,25,Brace,mudline,120,True,2
D_0024,Denting,3,30,Brace,mudline,120,True,2
D_0025,Denting,3,35,Brace,mudline,120,True,2
D_0026,Denting,3,40,Brace,mudline,120,True,2
D_0027,Denting,3,45,Brace,mudline,120,True,2
D_0028,Denting,4,5,Brace,mudline,120,True,1
D_0029,Denting,4,10,Brace,mudline,120,True,1
D_0030,Denting,4,15,Brace,mudline,120,True,1
D_0031,Denting,4,20,Brace,mudline,120,True,1
D_0032,Denting,4,25,Brace,mudline,120,True,1
D_0033,Denting,4,30,Brace,mudline,120,True,1
D_0034,Denting,4,35,Brace,mudline,120,True,1
D_0035,Denting,4,40,Brace,mudline,120,True,1
D_0036,Denting,4,45,Brace,mudline,120,True,1
D_0037,Denting,5,5,Brace,mudline,120,True,1
D_0038,Denting,5,10,Brace,mudline,120,True,1
D_0039,Denting,5,15,Brace,mudline,120,True,1
D_0040,Denting,5,20,Brace,mudline,120,True,1
D_0041,Denting,5,25,Brace,mudline,120,True,1
D_0042,Denting,5,30,Brace,mudline,120,True,1
